center      name       ll          lr          cl          cr          rl          rr     
4875.49     VI         4875.14     4875.35     4875.42     4875.57     4875.60     4875.70
4881.56     VI         4881.30     4881.43     4881.48     4881.65     4881.84     4882.00
4890.76     FeI        4889.39     4890.20     4890.70     4890.83     4892.00     4892.60
4891.50     FeI        4889.39     4890.20     4891.45     4891.55     4892.00     4892.60
4920.51     FeI        4919.53     4919.66     4920.15     4921.10     4921.28     4921.64
4923.93     FeII       4923.28     4923.66     4923.77     4924.10     4924.39     4924.50
4934.08     BaII       4933.50     4933.75     4933.97     4934.16     4934.30     4934.60
4938.82     FeI        4938.40     4938.60     4938.70     4938.95     4939.00     4939.10
4939.69     FeI        4939.40     4939.50     4939.60     4939.80     4939.85     4939.93
4942.49     CrI+FeI    4942.00     4942.20     4942.40     4942.60     4942.80     4943.00
4981.74     TiI        4981.25     4981.50     4981.63     4981.86     4981.95     4982.10
4991.07     TiI        4990.60     4990.85     4990.95     4991.18     4991.45     4991.75
4994.13     FeI        4993.85     4994.00     4994.05     4994.20     4994.25     4994.40
4999.51     TiI        4999.20     4999.30     4999.40     4999.65     4999.80     4999.90
5007.22     TiI+FeI    5004.50     5004.80     5007.15     5007.35     5007.85     5008.00
5009.65     TiI        5008.90     5009.15     5009.60     5009.72     5010.55     5010.70
5012.08     FeI        5011.84     5011.90     5012.02     5012.14     5012.26     5012.32
5013.30     TiI+CrI    5012.90     5013.10     5013.20     5013.45     5013.45     5013.60
5014.23     TiI+NiI    5014.00     5014.08     5014.14     5014.35     5014.43     5014.60
5016.17     TiI        5015.70     5015.90     5016.12     5016.23     5016.27     5016.39
5018.44     FeII       5017.90     5018.10     5018.30     5018.60     5018.70     5018.90
5020.03     TiI        5019.30     5019.55     5019.99     5020.07     5020.20     5020.40
5022.87     TiI        5022.55     5022.70     5022.78     5022.98     5023.00     5023.10
5024.85     TiI        5024.35     5024.65     5024.76     5024.98     5026.00     5026.26
5039.96     TiI        5039.50     5039.75     5039.85     5040.10     5040.32     5040.53
5040.90     FeI        5040.35     5040.50     5040.83     5040.95     5041.98     5042.08
5041.08     FeI        5040.35     5040.50     5041.02     5041.14     5041.98     5042.08
5041.76     FeI        5040.35     5040.50     5041.73     5041.82     5041.98     5042.08
5051.64     FeI        5051.48     5051.52     5051.60     5051.68     5051.76     5051.80
5060.08     FeI        5059.83     5059.97     5060.02     5060.15     5060.18     5060.31
5064.66     TiI        5064.30     5064.50     5064.61     5064.72     5064.76     5064.86
5068.77     FeI        5068.37     5068.55     5068.64     5068.91     5068.99     5069.28
5079.75     FeI        5079.36     5079.49     5079.68     5079.83     5080.17     5080.27
5083.34     FeI        5082.60     5082.90     5083.20     5083.50     5083.75     5084.01
5098.70     FeI        5098.20     5098.47     5098.64     5098.76     5099.50     5099.74
5105.54     CuI        5105.00     5105.20     5105.44     5105.67     5105.80     5106.00
5107.45     FeI        5107.00     5107.25     5107.35     5107.55     5108.00     5108.25
5107.65     FeI        5107.00     5107.25     5107.55     5107.75     5108.00     5108.25
5110.41     FeI        5110.17     5110.23     5110.35     5110.47     5110.59     5110.65
5115.40     NiI        5115.00     5115.20     5115.28     5115.56     5115.56     5115.70
5123.73     FeI        5123.04     5123.10     5123.63     5123.83     5124.24     5124.30
5127.36     FeI        5127.04     5127.21     5127.25     5127.48     5127.51     5127.59
5142.93     NiI        5141.95     5142.07     5142.87     5142.99     5143.18     5143.27
5147.48     TiI        5147.20     5147.40     5147.44     5147.54     5147.57     5147.64
5150.85     FeI        5150.35     5150.50     5150.75     5150.95     5151.25     5151.50
5151.91     FeI        5151.40     5151.60     5151.81     5152.03     5152.32     5152.47
5152.19     TiI        5151.40     5151.60     5152.14     5152.26     5152.32     5152.47
5166.29     FeI        5166.05     5166.11     5166.23     5166.35     5166.47     5166.53
5167.33     MgI        5166.43     5166.53     5167.25     5167.41     5168.30     5168.45
5167.49     FeI        5166.43     5166.53     5167.41     5167.60     5168.30     5168.45
5168.90     FeI        5168.30     5168.50     5168.80     5169.00     5169.60     5169.80
5171.60     FeI        5171.10     5171.40     5171.53     5171.71     5171.80     5172.00
5172.69     MgI        5170.20     5170.40     5172.60     5172.79     5176.25     5176.40
5183.61     MgI        5179.00     5180.00     5181.00     5186.00     5187.00     5188.00
5191.46     FeI        5191.09     5191.20     5191.34     5191.58     5191.76     5191.92
5192.97     TiI        5192.68     5192.84     5192.93     5193.04     5193.10     5193.30
5194.95     FeI        5194.25     5194.60     5194.85     5195.05     5195.15     5195.30
5198.71     FeI        5198.40     5198.55     5198.64     5198.80     5199.00     5199.30
5202.34     FeI        5201.70     5202.00     5202.12     5202.45     5202.58     5202.92
5204.53     CrI+FeI    5203.65     5204.00     5204.40     5204.70     5206.86     5207.01
5206.04     CrI        5203.65     5204.00     5205.80     5206.31     5206.86     5207.01
5208.43     CrI        5207.35     5207.53     5208.37     5208.52     5209.30     5209.49
5210.39     TiI        5209.95     5210.14     5210.34     5210.47     5210.54     5210.65
5216.28     FeI        5215.73     5216.01     5216.21     5216.36     5216.71     5217.00
5219.70     TiI        5219.30     5219.50     5219.65     5219.79     5219.83     5219.98
5225.53     FeI        5225.20     5225.40     5225.40     5225.65     5225.89     5226.00
5227.19     FeI        5226.20     5226.40     5227.10     5227.30     5227.80     5228.00
5238.58     TiI        5238.33     5238.44     5238.50     5238.66     5238.71     5238.85
5247.05     FeI        5245.00     5245.50     5246.90     5247.20     5248.50     5248.85
5247.57     CrI        5245.00     5245.50     5247.43     5247.75     5248.50     5248.85
5250.21     FeI        5248.50     5248.85     5250.10     5250.30     5251.10     5251.35
5254.96     FeI        5254.20     5254.40     5254.87     5255.05     5256.00     5256.60
5264.17     CrI        5261.00     5261.30     5264.12     5264.30     5264.52     5264.70
5269.54     FeI        5267.50     5268.00     5269.40     5269.70     5271.40     5271.90
5270.32     FeI        5267.50     5268.00     5270.15     5270.50     5271.40     5271.90
5298.28     CrI        5297.55     5297.85     5298.23     5298.35     5299.00     5299.30
5341.03     FeI+MnI    5340.54     5340.75     5340.98     5341.22     5341.60     5342.60
5345.80     CrI        5345.00     5345.30     5345.74     5345.88     5346.15     5346.45
5348.32     CrI        5347.80     5347.95     5348.20     5348.47     5348.55     5348.70
5371.50     FeI        5371.26     5371.32     5371.44     5371.56     5371.68     5371.74
5394.67     MnI        5394.36     5394.44     5394.58     5394.76     5394.92     5395.00
5397.13     FeI        5396.90     5396.96     5397.06     5397.20     5397.32     5397.38
5405.78     MnI        5405.55     5405.61     5405.71     5405.85     5405.97     5406.03
5407.42     MnI+FeI    5406.90     5407.20     5407.20     5407.62     5407.70     5408.00
5409.79     CrI        5409.30     5409.50     5409.67     5409.97     5410.10     5410.40
5420.35     MnI        5419.40     5419.80     5420.20     5420.50     5421.50     5421.75
5426.25     TiI        5425.90     5426.10     5426.20     5426.30     5426.40     5426.60
5429.70     FeI        5429.47     5429.53     5429.63     5429.77     5429.89     5429.95
5432.55     MnI        5432.24     5432.32     5432.47     5432.64     5432.80     5432.88
5434.53     FeI        5434.21     5434.29     5434.45     5434.61     5434.77     5434.85
5446.92     FeI        5446.60     5446.68     5446.84     5447.00     5447.16     5447.24
5455.61     FeI        5454.70     5454.90     5455.55     5455.70     5456.65     5457.00
5460.50     TiI        5460.20     5460.30     5460.41     5460.61     5460.65     5460.80
5470.63     MnI        5470.20     5470.40     5470.50     5470.77     5470.80     5471.10
5476.91     NiI        5475.00     5475.25     5476.75     5477.10     5477.95     5478.25
5483.36     CoI        5482.70     5482.90     5483.22     5483.50     5483.60     5483.80
5497.52     FeI        5497.37     5497.41     5497.47     5497.57     5497.65     5497.69
5501.47     FeI        5501.25     5501.31     5501.39     5501.55     5501.67     5501.73
5506.78     FeI        5506.56     5506.62     5506.70     5506.86     5506.98     5507.04
5516.77     MnI        5516.29     5516.41     5516.65     5516.89     5517.13     5517.25
5528.41     MgI        5527.00     5527.40     5528.31     5528.50     5530.10     5530.30
5537.77     MnI        5537.22     5537.36     5537.62     5537.92     5538.20     5538.34
5569.62     FeI        5568.20     5568.70     5569.50     5569.75     5570.90     5571.80
5581.97     CaI        5581.00     5581.50     5581.80     5582.20     5582.50     5582.85
5587.86     NiI        5587.70     5587.77     5587.80     5587.92     5588.00     5588.10
5588.76     CaI        5588.20     5588.40     5588.60     5588.95     5589.10     5589.25
5590.12     CaI        5589.50     5589.70     5590.05     5590.20     5590.30     5590.60
5598.49     CaI        5597.80     5598.00     5598.44     5598.55     5599.00     5599.20
5624.55     FeI        5624.14     5624.28     5624.49     5624.65     5625.00     5625.20
5627.64     VI         5627.20     5627.40     5627.55     5627.75     5627.80     5628.20
5670.85     VI         5670.20     5670.50     5670.75     5670.95     5671.20     5671.50
5703.58     VI         5703.00     5703.40     5703.45     5703.75     5704.00     5704.60
5707.00     VI         5706.30     5706.60     5706.90     5707.15     5707.40     5707.70
5711.09     MgI        5710.10     5710.60     5711.00     5711.20     5711.40     5711.60
5782.13     FeI        5781.40     5781.60     5781.90     5782.35     5782.40     5782.80
5853.68     BaII       5853.30     5853.50     5853.55     5853.80     5853.90     5854.20
5857.45     CaI        5856.30     5856.80     5857.37     5857.53     5858.00     5858.15
5889.96     NaI        5888.70     5888.90     5889.85     5890.04     5891.30     5891.60
5895.93     NaI        5894.40     5894.60     5895.80     5896.07     5896.20     5896.40
6013.50     MnI        6010.50     6012.00     6013.40     6013.60     6014.00     6015.00
6016.64     FeI+MnI    6015.50     6016.00     6016.45     6016.80     6017.40     6017.90
6021.80     MnI        6021.00     6021.50     6021.70     6021.90     6022.00     6022.50
6065.49     FeI        6064.90     6065.10     6065.43     6065.56     6066.00     6066.50
6081.45     VI         6080.50     6081.00     6081.32     6081.58     6081.95     6082.25
6082.71     FeI        6082.00     6082.20     6082.65     6082.79     6083.00     6083.20
6085.25     FeI+TiI    6084.50     6085.00     6085.20     6085.32     6085.50     6086.00
6090.21     VI         6089.80     6090.00     6090.15     6090.30     6090.40     6090.80
6102.72     CaI        6100.50     6101.50     6102.50     6103.00     6103.50     6104.50
6111.65     VI         6111.25     6111.45     6111.55     6111.75     6112.00     6112.60
6122.22     CaI        6120.40     6120.85     6122.10     6122.35     6123.70     6124.30
6136.62     FeI        6136.00     6136.30     6136.55     6136.70     6138.00     6138.30
6141.73     BaII+FeI   6141.00     6141.50     6141.60     6141.73     6142.00     6142.50
6150.15     VI         6149.85     6150.00     6150.05     6150.27     6150.40     6150.60
6173.34     FeI        6172.80     6173.10     6173.20     6173.50     6173.75     6174.00
6191.57     FeI        6189.60     6190.20     6191.49     6191.65     6192.70     6193.25
6199.19     VI+FeII    6198.80     6199.00     6199.05     6199.35     6199.70     6200.00
6200.32     FeI        6199.80     6200.00     6200.15     6200.48     6200.60     6201.00
6213.44     FeI        6212.50     6213.00     6213.25     6213.60     6214.10     6214.50
6213.87     VI         6212.50     6213.00     6213.75     6214.00     6214.10     6214.50
6216.36     FeI+VI     6216.00     6216.15     6216.25     6216.50     6217.00     6217.50
6219.29     FeI        6218.40     6219.00     6219.00     6219.60     6219.60     6219.80
6230.73     FeI        6229.40     6229.90     6230.60     6230.95     6231.60     6232.10
6242.83     VI         6242.00     6242.50     6242.72     6243.00     6243.50     6244.00
6243.11     VI         6242.00     6242.50     6243.00     6243.23     6243.50     6244.00
6246.32     FeI        6245.30     6245.50     6246.10     6246.50     6247.00     6247.25
6251.83     VI         6251.30     6251.60     6251.70     6252.00     6252.10     6252.40
6252.56     FeI        6251.00     6251.60     6252.48     6252.65     6253.00     6253.60
6254.26     FeI        6253.40     6253.60     6254.00     6254.50     6254.60     6254.80
6256.36     FeI+NiI    6256.07     6256.20     6256.20     6256.55     6256.60     6256.80
6265.14     FeI        6264.50     6264.80     6264.95     6265.30     6265.40     6265.55
6274.66     VI         6274.30     6274.50     6274.55     6274.75     6274.80     6275.00
6318.03     FeI+CaI    6317.20     6317.60     6317.90     6318.16     6318.37     6318.57
6335.34     FeI        6333.50     6334.00     6335.20     6335.40     6335.60     6335.75
6358.69     FeI        6358.15     6358.40     6358.50     6358.85     6358.90     6359.05
6393.61     FeI        6391.40     6391.90     6393.52     6393.70     6395.60     6396.10
6400.32     FeI        6399.00     6399.25     6400.25     6400.40     6400.50     6400.75
6408.02     FeI        6407.60     6407.80     6407.85     6408.20     6408.30     6408.45
6421.36     FeI        6420.80     6421.00     6421.30     6421.43     6421.80     6422.00
6430.85     FeI        6429.00     6429.50     6430.75     6430.95     6432.15     6432.50
6450.20     SiI        6447.00     6448.00     6450.00     6450.50     6450.80     6451.40
6562.80     Halpha     6559.20     6560.40     6562.28     6563.35     6566.00     6568.00
6643.64     NiI        6643.00     6643.30     6643.55     6643.72     6644.00     6644.30
