filename	bjd	rv	rvc	logS
HARPS.2008-02-28T09:43:40.708	2454524.90607	-22.3184842133	-0.00025791312004130873	-1.3983082997100003
HARPS.2008-02-28T09:44:22.921	2454524.90655	-22.3176694043	0.0005571491997002909	-1.3996688071099999
HARPS.2008-02-28T09:45:04.773	2454524.90704	-22.317127521	0.001099248566536204	-1.3986913209600003
HARPS.2008-02-28T09:45:46.855	2454524.90753	-22.318153908200003	7.309978511216286e-05	-1.399016904
HARPS.2008-02-28T09:47:10.769	2454524.9085	-22.317393374499996	0.0008341252234380647	-1.3986900465600003
HARPS.2008-02-28T09:47:51.771	2454524.90897	-22.3176482775	0.0005794382902735151	-1.39933316536
HARPS.2008-02-28T09:48:33.384	2454524.9094599998	-22.3182264004	1.5612594310709937e-06	-1.39944176752
HARPS.2008-02-28T09:49:15.366	2454524.90994	-22.3184282767	-0.00020007662199006404	-1.3985116686399999
HARPS.2008-02-29T09:07:40.835	2454525.88114	-22.3177881673	0.0009157821514449438	-1.3984853050600001
HARPS.2008-02-29T09:08:21.797	2454525.88161	-22.3183545247	0.0003496408182854793	-1.40022682544
HARPS.2008-02-29T09:09:02.600	2454525.88209	-22.3175775819	0.0011268294874433593	-1.39741644167
HARPS.2008-02-29T09:09:45.401	2454525.88258	-22.3178543502	0.000850307056602162	-1.39760604982
HARPS.2008-02-29T09:10:28.064	2454525.88308	-22.318872908299998	-0.00016802752597655513	-1.3976777817800001
HARPS.2008-02-29T09:11:10.126	2454525.88357	-22.3196280289	-0.0009229022568177925	-1.39785462579
HARPS.2008-02-29T09:12:33.920	2454525.88453	-22.3187039291	1.681830919864069e-06	-1.3985100586800001
HARPS.2008-02-29T09:13:14.373	2454525.885	-22.318363073	0.0003427539977565175	-1.3974217692700002
HARPS.2008-02-29T09:13:55.415	2454525.8854799997	-22.3178537665	0.0008522989163353145	-1.3990343267899998
HARPS.2008-03-01T09:07:07.867	2454526.88083	-22.317199154	0.001994522114081576	-1.4001025816600001
HARPS.2008-03-01T09:07:49.770	2454526.8813099996	-22.317901119699997	0.0012927948326648675	-1.39970431468
HARPS.2008-03-01T09:08:31.752	2454526.8818	-22.318830077199998	0.0003640533995010742	-1.3993994569100001
HARPS.2008-03-01T09:09:13.783	2454526.88229	-22.3181195485	0.0010748428698192924	-1.39775217248
HARPS.2008-03-01T09:09:55.376	2454526.88277	-22.3180955292	0.0010990931378174196	-1.39862599363
