name	center	ew	ew_diff	asym_diff	logS_ew_p	logS_ew_pp	logS_asym_p	logS_asym_pp	rv_ew_p	rv_ew_pp	rv_asym_p	rv_asym_pp
VI	4460.3	0.12936	-0.00436	0.01696	-0.82647	0.00000	0.35959	0.00000	0.24522	0.00000	-0.04764	0.02300
FeI	4461.66	0.11436	-0.00777	0.01714	-0.93234	0.00000	0.63639	0.00000	0.24762	0.00000	-0.20241	0.00000
FeI	4466.57	0.12622	-0.00200	0.02700	-0.61484	0.00000	0.50607	0.00000	0.18656	0.00000	-0.13722	0.00000
TiII	4468.5	0.12206	0.00284	-0.00148	0.79765	0.00000	0.03007	0.15149	-0.33551	0.00000	-0.11273	0.00000
FeI	4472.76	0.13448	-0.00178	0.00165	-0.71341	0.00000	0.37016	0.00000	0.18213	0.00000	-0.18100	0.00000
FeI	4482.18	0.13711	-0.00851	0.06878	-0.93295	0.00000	0.83831	0.00000	0.28308	0.00000	-0.22476	0.00000
FeI	4482.73	0.10383	-0.00069	-0.00832	-0.43031	0.00000	-0.44938	0.00000	0.10562	0.00000	0.06845	0.00108
FeI	4489.74	0.12634	-0.00076	0.01699	-0.45647	0.00000	0.70019	0.00000	0.29431	0.00000	-0.26317	0.00000
FeI	4494.57	0.15553	-0.00042	0.00186	-0.32477	0.00000	0.29905	0.00000	0.11332	0.00000	-0.14062	0.00000
CrI	4496.86	0.14751	0.00142	0.00542	0.55689	0.00000	0.20427	0.00000	0.05858	0.00517	-0.11842	0.00000
TiII	4501.27	0.11587	0.00198	0.00677	0.73750	0.00000	0.19843	0.00000	-0.11960	0.00000	-0.18281	0.00000
TiI	4512.74	0.09591	0.00021	0.00447	0.41201	0.00000	0.22306	0.00000	0.05360	0.01053	-0.36324	0.00000
CrI	4514.47	0.12662	-0.00111	0.00044	-0.61594	0.00000	-0.20780	0.00000	0.21716	0.00000	0.04228	0.04367
TiI	4518.03	0.10870	0.00097	-0.00179	0.53211	0.00000	0.02029	0.33316	0.01602	0.44496	-0.07028	0.00079
TiI	4522.8	0.10568	0.00090	0.00556	0.53319	0.00000	0.39942	0.00000	-0.08748	0.00003	-0.23367	0.00000
FeI	4528.62	0.35561	-0.00346	0.00083	-0.72735	0.00000	0.32005	0.00000	0.31025	0.00000	0.04636	0.02696
FeI	4531.15	0.14371	-0.00037	0.02485	-0.37478	0.00000	0.64386	0.00000	0.17833	0.00000	-0.25928	0.00000
TiI	4533.25	0.14733	0.00118	0.00507	0.32504	0.00000	0.20483	0.00000	0.02439	0.24473	-0.02712	0.19579
TiII	4533.97	0.12370	0.00244	0.00818	0.79193	0.00000	0.18066	0.00000	-0.18785	0.00000	-0.17731	0.00000
TiI	4534.78	0.13829	0.00136	0.00964	0.43469	0.00000	0.39473	0.00000	-0.17478	0.00000	-0.15828	0.00000
TiI	4544.68	0.15241	-0.00040	-0.00714	-0.20245	0.00000	-0.32375	0.00000	0.13794	0.00000	0.06652	0.00149
CrI	4545.35	0.08794	-0.00196	0.00716	-0.65729	0.00000	0.52794	0.00000	0.29924	0.00000	-0.25226	0.00000
CrI	4545.96	0.12330	0.00128	0.00167	0.66735	0.00000	0.22795	0.00000	-0.12491	0.00000	-0.11849	0.00000
TiII	4549.63	0.23519	0.00325	0.00472	0.79245	0.00000	0.41853	0.00000	-0.20929	0.00000	-0.00059	0.97746
BaII	4554.03	0.17552	0.00292	-0.00102	0.70285	0.00000	-0.00210	0.92033	-0.13074	0.00000	-0.10291	0.00000
TiII	4563.76	0.12877	0.00264	-0.00470	0.74599	0.00000	-0.09348	0.00001	-0.19233	0.00000	0.02119	0.31211
MgI	4571.1	0.10228	-0.00459	0.01297	-0.91261	0.00000	0.47606	0.00000	0.29281	0.00000	-0.08682	0.00003
TiII	4571.98	0.14117	0.00422	-0.00144	0.84518	0.00000	-0.08752	0.00003	-0.25970	0.00000	0.06228	0.00295
VI	4577.18	0.07534	-0.00129	-0.00193	-0.65253	0.00000	0.13686	0.00000	0.27253	0.00000	-0.00783	0.70891
VI	4586.37	0.10082	-0.00171	0.00901	-0.66710	0.00000	0.33322	0.00000	0.23895	0.00000	-0.07238	0.00055
FeI	4592.66	0.12955	0.00058	0.00691	0.28847	0.00000	0.18558	0.00000	-0.09077	0.00001	0.02708	0.19644
VI	4594.12	0.10698	-0.00241	0.00839	-0.74121	0.00000	0.36638	0.00000	0.13106	0.00000	-0.09784	0.00000
CrI	4600.75	0.11436	0.00156	0.00810	0.52960	0.00000	0.41792	0.00000	0.27680	0.00000	-0.16461	0.00000
FeI	4602.95	0.16412	-0.00033	0.00445	0.01073	0.60869	0.31653	0.00000	-0.07868	0.00017	-0.18197	0.00000
CrI	4616.13	0.11739	0.00260	0.00571	0.80283	0.00000	0.16125	0.00000	-0.27877	0.00000	-0.02230	0.28749
CrI	4621.93	0.08846	-0.00119	-0.00052	-0.70060	0.00000	-0.31564	0.00000	0.37105	0.00000	0.13246	0.00000
CrI	4626.18	0.11928	0.00335	0.00481	0.77499	0.00000	0.23198	0.00000	-0.23126	0.00000	-0.17958	0.00000
FeII	4629.35	0.10695	-0.00096	0.00517	-0.23847	0.00000	0.36371	0.00000	0.21685	0.00000	-0.07652	0.00026
FeI	4632.91	0.06475	-0.00057	0.03029	-0.19288	0.00000	0.43746	0.00000	0.27947	0.00000	-0.32670	0.00000
TiI	4645.19	0.05418	-0.00077	0.00332	-0.40712	0.00000	0.28533	0.00000	0.15808	0.00000	-0.04092	0.05091
CrI	4646.17	0.13765	0.00305	0.00394	0.70199	0.00000	0.17102	0.00000	-0.49765	0.00000	-0.02048	0.32855
FeI	4647.44	0.10167	0.00090	0.00137	0.57760	0.00000	0.27174	0.00000	-0.11716	0.00000	-0.14376	0.00000
CrI	4651.29	0.11095	0.00190	0.00845	0.75171	0.00000	0.43996	0.00000	-0.21223	0.00000	-0.32476	0.00000
CrI	4652.16	0.14107	0.00126	0.00813	0.56837	0.00000	0.55075	0.00000	-0.08944	0.00002	-0.19866	0.00000
TiI	4656.47	0.09653	-0.00018	0.00564	0.24575	0.00000	0.41150	0.00000	0.10248	0.00000	-0.01825	0.38396
FeI+TiI	4675.11	0.06676	-0.00128	0.00439	-0.56399	0.00000	0.37489	0.00000	0.23771	0.00000	-0.19730	0.00000
TiI	4681.91	0.09991	0.00033	0.01091	0.19277	0.00000	0.56894	0.00000	0.12526	0.00000	-0.30904	0.00000
TiI	4715.3	0.03819	-0.00076	0.00964	-0.66445	0.00000	0.28114	0.00000	0.24110	0.00000	-0.14936	0.00000
ZnI	4722.16	0.07626	0.00024	-0.01033	0.16044	0.00000	-0.32190	0.00000	0.04161	0.04711	0.71674	0.00000
TiI	4722.61	0.05130	-0.00104	0.00276	-0.47040	0.00000	0.15886	0.00000	0.23785	0.00000	-0.07292	0.00050
TiI	4723.16	0.09151	-0.00183	-0.00169	-0.70250	0.00000	-0.14963	0.00000	0.30087	0.00000	0.00236	0.91036
FeI	4733.6	0.11513	0.00143	0.00420	0.58963	0.00000	0.09488	0.00001	-0.26632	0.00000	-0.03307	0.11467
